AR,219,-44,83

AR,216,-48,84

AL,16,60,-31

AL,16,59,-33

AR,209,-59,87

AR,205,-64,91

AL,14,59,-37

AL,14,59,-39

AR,194,-73,111

AR,188,-76,129

AR,176,-77,177

AR,170,-75,-164

AL,13,59,-43

AL,14,58,-44

AR,161,-71,-147

AR,161,-69,-145

AL,29,45,-53

AL,32,42,-55

AR,164,-69,-147

AR,165,-70,-149

AL,38,36,-58

AL,41,33,-60

AR,167,-72,-163

AR,170,-73,-179

AL,44,28,-62

AL,45,26,-64

AR,179,-74,156

AR,178,-74,145

AL,46,24,-66

AL,47,24,-66

AR,182,-70,133

AR,185,-69,129

AL,46,25,-67

AL,45,26,-67

AR,189,-66,122

AR,190,-65,120

AL,41,30,-67

AL,39,33,-66AR,193,-64,116



AL,32,41,-65

AL,19,54,-61

AR,194,-64,115

AR,200,-62,106

AL,4,67,-43

AL,1,70,-30

AR,204,-62,99

AR,205,-61,97

AL,354,73,5

AL,351,73,24

AR,206,-60,96

AR,206,-58,96

AL,346,69,51

AL,342,66,58

AR,208,-54,95

AR,210,-51,94

AL,337,63,63

AL,336,62,62

AR,217,-45,90

AR,220,-42,88

AL,337,63,59

AL,339,65,56

AR,225,-36,84

AR,228,-33,83

AL,345,68,47

AL,349,69,40

AR,233,-28,80

AR,236,-25,78

AL,358,69,21

AL,1,69,11

AR,239,-22,76

AR,239,-21,76

AL,9,68,-1

AL,12,67,-6

AR,239,-20,77

AR,238,-20,78

AL,15,64,-12

AL,16,63,-15

AR,234,-24,81

AR,231,-26,82

AL,18,62,-19

AL,19,61,-20

AR,224,-33,84

AR,221,-37,85

AL,19,60,-23

AL,18,60,-25

AR,214,-46,85

AR,210,-51,86

AL,18,60,-28

AL,17,59,-30

AR,202,-61,91

AR,197,-67,96

AL,17,59,-32

AL,15,59,-36

AR,186,-75,119

AR,180,-78,140

AL,14,59,-37

AL,15,58,-41

AR,167,-77,-172

AR,161,-75,-157

AL,18,56,-42

AL,24,51,-46

AR,155,-72,-144

AR,155,-71,-143

AL,29,45,-51

AL,32,42,-53

AR,157,-72,-146

AR,158,-73,-149

AL,35,39,-55

AL,40,33,-58

AR,160,-76,-162

AR,163,-75,176

AL,42,30,-59

AL,43,26,-63

AR,173,-77,143

AR,174,-74,138

AL,44,25,-64

AL,44,23,-65

AR,177,-70,130

AR,180,-68,125

AL,44,23,-66

AL,44,24,-66

AR,184,-66,118

AR,185,-65,117

AL,42,27,-65

AL,38,32,-64

AR,187,-64,113

AR,188,-64,112

AL,35,35,-63

AL,27,43,-62

AR,190,-63,109

AR,191,-62,108

AL,22,47,-60

AL,18,52,-58

AR,193,-61,105

AR,194,-61,103

AL,8,60,-50

AL,4,64,-42

AR,197,-60,99

AR,199,-60,97

AL,356,70,-17

AL,353,71,0

AR,200,-59,95

AR,203,-57,92

AL,348,70,32

AL,345,68,43

AR,206,-53,91

AR,208,-50,90

AL,340,65,55

AL,339,64,56

AR,211,-48,89

AR,214,-45,87

AL,339,64,53

AL,341,65,51

AR,219,-40,83AL,349,68,36

AL,353,69,26



AR,223,-34,81

AR,225,-32,80

AL,359,69,9

AL,3,68,2

AR,228,-25,81

AR,229,-23,82

AL,8,65,-8

AL,9,64,-12

AR,229,-22,82

AR,227,-23,83

AL,12,62,-18

AL,13,60,-19

AR,226,-24,83

AR,224,-26,83

AL,14,59,-22

AL,14,58,-24

AR,219,-31,84

AR,216,-34,84

AL,14,58,-26

AL,14,58,-27

AR,210,-42,85

AR,203,-50,87

AR,199,-55,89

AR,195,-60,91

AL,13,57,-30

AL,13,57,-32

AR,186,-69,100

AR,182,-73,109

AL,10,56,-43

AL,10,56,-45

AR,172,-79,144

AR,167,-79,168

AL,13,52,-47

AL,16,50,-48

AR,158,-75,-159

AR,153,-72,-148

AL,22,45,-51

AL,25,43,-52

AR,153,-71,-147

AR,154,-71,-148

AL,30,37,-56

AL,32,35,-57

AR,155,-72,-152

AR,0,0,0

AL,36,30,-60

AL,37,28,-62

AR,158,-74,-175

AR,163,-72,164

AL,38,25,-65

AL,39,24,-66

AR,168,-76,142

AR,171,-72,138

AL,40,24,-67

AL,40,24,-67

AR,174,-68,130

AR,176,-67,126

AL,38,26,-67

AL,37,28,-66AR,181,-65,120

AR,182,-64,119



AL,32,34,-65

AR,184,-63,115

AR,185,-63,114

AR,186,-62,111

AR,187,-62,110

AL,21,45,-64

AL,16,50,-62

AR,190,-61,107

AR,191,-61,105

AL,356,70,-31

AL,353,73,-15

AR,194,-60,101

AR,195,-60,99

AL,347,74,22

AL,345,73,40

AR,198,-58,96

AR,199,-57,95

AL,339,68,61

AL,336,66,66

AR,203,-52,93

AR,206,-49,91

AL,331,64,67

AL,330,64,66

AR,213,-44,84

AR,216,-41,81

AL,333,66,63

AL,336,67,59

AR,219,-36,80

AR,221,-33,80

AL,345,71,42

AL,349,73,32

AR,224,-28,82

AR,226,-25,82

AL,356,73,10

AL,359,71,0

AR,227,-22,84

AR,227,-21,84

AL,3,68,-12

AL,5,67,-16

AR,227,-20,83

AR,226,-21,82

AL,8,65,-22

AL,9,64,-24

AR,223,-23,82

AR,221,-25,82

AL,10,62,-28

AL,10,61,-29

AR,216,-31,83

AR,213,-34,83

AL,10,61,-32

AL,10,61,-33

AR,207,-42,85

AR,203,-46,87

AR,195,-54,91

AR,191,-58,94

AL,10,61,-35

AL,9,60,-37

AR,180,-67,105

AR,175,-71,114

AL,7,59,-47

AL,7,59,-50

AR,164,-77,146

AR,159,-77,168

AL,8,57,-54

AL,10,55,-55

AR,153,-75,-161

AR,151,-72,-153

AL,17,49,-56

AL,19,47,-58

AR,152,-70,-150

AR,154,-70,-152

AL,24,41,-61

AL,27,39,-63

AR,157,-71,-158

AR,158,-72,-163

AL,31,34,-66

AL,33,32,-68

AR,161,-71,173

AR,167,-72,163

AL,36,28,-70

AL,37,27,-70

AR,169,-72,146

AR,170,-70,142

AL,39,26,-71

AL,40,26,-71

AR,175,-67,134

AR,178,-67,129

AL,39,27,-71

AL,38,29,-70

AR,182,-65,124

AR,182,-64,123

AL,35,34,-70

AL,32,37,-70

AL,25,44,-68

AL,22,47,-67

AR,184,-63,120

AR,185,-62,118

AL,15,55,-62AR,189,-61,113

AR,190,-61,112



AL,11,59,-57

AL,5,67,-43

AR,192,-60,109

AR,193,-60,108

AL,354,74,-3

AL,351,75,14

AR,196,-60,104

AR,197,-59,102

AL,345,73,43

AL,342,71,52

AR,200,-57,99

AR,202,-56,98

AR,205,-52,96

AR,208,-50,94

AL,337,68,59

AL,335,67,59

AR,214,-45,89

AR,217,-43,87

AL,339,70,49

AL,345,73,38

AR,221,-39,82

AR,223,-37,81

AL,348,73,30

AR,225,-34,81

AR,226,-33,81

AL,355,73,12

AL,357,72,4

AR,226,-31,83

AR,225,-31,84

AL,5,69,-13

AL,9,67,-19

AR,223,-32,84

AR,222,-33,85

AL,10,65,-22

AL,13,63,-25

AR,218,-37,85

AR,216,-39,85

AL,14,62,-26
