KR: x:198.187500, y:87.000000, z:177.625000 
AR: x:301.500000, y:72.875000, z:-143.812500 
HR: x:281.875000, y:81.375000, z:68.062500 
KR: x:195.687500, y:83.312500, z:176.562500 
AR: x:301.562500, y:71.375000, z:-146.437500 
HR: x:283.687500, y:82.062500, z:74.062500 
KR: x:195.750000, y:83.375000, z:176.250000 
AR: x:301.750000, y:71.125000, z:-146.562500 
HR: x:281.812500, y:80.750000, z:71.437500 
KR: x:190.875000, y:84.500000, z:177.062500 
AR: x:294.312500, y:72.375000, z:-144.250000 
HR: x:279.500000, y:80.312500, z:67.312500 
KR: x:189.937500, y:82.812500, z:141.562500 
AR: x:293.875000, y:70.937500, z:-145.937500 
HR: x:282.500000, y:82.687500, z:88.125000 
KR: x:188.062500, y:81.187500, z:141.750000 
AR: x:295.812500, y:69.937500, z:-145.500000 
HR: x:281.062500, y:83.875000, z:173.875000 
KR: x:187.000000, y:80.562500, z:144.125000 
AR: x:297.750000, y:68.750000, z:-140.750000 
HR: x:282.125000, y:83.375000, z:173.375000 
KR: x:188.375000, y:81.437500, z:142.812500 
AR: x:297.562500, y:69.312500, z:-140.625000 
HR: x:280.875000, y:83.062500, z:82.062500 
KR: x:189.750000, y:82.375000, z:141.437500 
AR: x:297.250000, y:70.312500, z:-141.125000 
HR: x:282.312500, y:83.062500, z:76.125000 
KR: x:190.750000, y:82.937500, z:136.875000 
AR: x:297.000000, y:70.937500, z:-142.125000 
HR: x:282.500000, y:81.812500, z:78.750000 
KR: x:191.187500, y:84.062500, z:175.812500 
AR: x:297.125000, y:71.062500, z:-139.750000 
HR: x:282.812500, y:81.250000, z:76.187500 
KR: x:191.750000, y:85.000000, z:176.125000 
AR: x:297.437500, y:71.750000, z:-139.562500 
HR: x:281.125000, y:80.062500, z:75.500000 
KR: x:191.250000, y:85.812500, z:176.250000 
AR: x:297.750000, y:71.750000, z:-136.625000 
HR: x:282.437500, y:79.937500, z:75.187500 
KR: x:192.500000, y:85.875000, z:176.250000 
AR: x:297.375000, y:71.937500, z:-139.125000 
HR: x:282.500000, y:79.875000, z:74.687500 
KR: x:192.375000, y:85.687500, z:176.125000 
AR: x:297.375000, y:71.687500, z:-139.937500 
HR: x:283.187500, y:80.000000, z:76.000000 
KR: x:192.812500, y:85.375000, z:176.000000 
AR: x:297.875000, y:71.062500, z:-139.375000 
HR: x:282.812500, y:80.187500, z:76.062500 
KR: x:193.000000, y:85.125000, z:175.937500 
AR: x:297.812500, y:70.687500, z:-139.875000 
HR: x:282.750000, y:80.375000, z:75.937500 
KR: x:192.625000, y:85.250000, z:176.187500 
AR: x:298.000000, y:70.625000, z:-139.375000 
HR: x:282.312500, y:81.500000, z:66.937500 
KR: x:190.000000, y:83.937500, z:175.750000 
AR: x:305.687500, y:67.000000, z:-125.625000 
HR: x:279.750000, y:75.687500, z:73.875000 
KR: x:186.500000, y:81.875000, z:23.000000 
AR: x:272.875000, y:75.687500, z:-178.750000 
HR: x:282.562500, y:79.812500, z:121.750000 
KR: x:182.500000, y:77.500000, z:124.937500 
AR: x:304.187500, y:60.937500, z:-133.062500 
HR: x:277.250000, y:84.562500, z:5.250000 
KR: x:193.062500, y:80.687500, z:83.875000 
AR: x:342.875000, y:36.562500, z:-105.437500 
HR: x:267.875000, y:70.250000, z:82.500000 
KR: x:179.062500, y:76.562500, z:22.875000 
AR: x:261.062500, y:68.937500, z:153.062500 
HR: x:277.250000, y:75.687500, z:109.062500 
KR: x:191.062500, y:79.000000, z:99.625000 
AR: x:293.250000, y:64.875000, z:-153.375000 
HR: x:296.187500, y:84.687500, z:177.062500 
KR: x:192.250000, y:73.750000, z:142.875000 
AR: x:314.687500, y:55.187500, z:-129.812500 
HR: x:281.812500, y:78.937500, z:79.687500 
KR: x:190.250000, y:78.312500, z:56.187500 
AR: x:304.687500, y:64.312500, z:-127.937500 
HR: x:278.312500, y:72.625000, z:95.500000 
KR: x:180.125000, y:77.437500, z:57.312500 
AR: x:281.500000, y:69.875000, z:-153.437500 
HR: x:280.937500, y:81.375000, z:148.750000 
KR: x:172.687500, y:73.250000, z:129.937500 
AR: x:304.625000, y:54.250000, z:-126.250000 
HR: x:266.125000, y:76.875000, z:93.562500 
KR: x:177.250000, y:75.687500, z:44.312500 
AR: x:305.937500, y:59.687500, z:-123.312500 
HR: x:281.250000, y:72.437500, z:121.250000 
KR: x:185.812500, y:77.687500, z:77.562500 
AR: x:281.625000, y:67.750000, z:-162.750000 
HR: x:291.687500, y:81.187500, z:154.312500 
KR: x:181.562500, y:72.812500, z:134.812500 
AR: x:307.125000, y:55.062500, z:-130.250000 
HR: x:268.500000, y:77.437500, z:94.125000 
KR: x:181.312500, y:75.000000, z:44.937500 
AR: x:306.750000, y:59.562500, z:-122.187500 
HR: x:276.875000, y:70.687500, z:114.375000 
KR: x:193.562500, y:75.625000, z:63.437500 
AR: x:279.625000, y:69.687500, z:-165.625000 
HR: x:288.437500, y:83.187500, z:176.500000 
AR: x:313.750000, y:51.687500, z:-124.187500 KR: x:186.125000, y:75.125000, z:134.812500 

HR: x:262.437500, y:68.750000, z:92.312500 
KR: x:177.750000, y:69.375000, z:37.000000 
AR: x:277.750000, y:71.875000, z:-168.937500 
HR: x:282.750000, y:72.312500, z:119.187500 
KR: x:184.062500, y:78.250000, z:97.062500 
AR: x:291.062500, y:65.000000, z:-151.312500 
HR: x:289.812500, y:84.875000, z:179.750000 
KR: x:183.875000, y:75.500000, z:131.937500 
AR: x:335.687500, y:39.625000, z:-112.562500 
HR: x:271.625000, y:69.937500, z:95.312500 
KR: x:177.000000, y:72.250000, z:35.125000 
AR: x:262.312500, y:68.937500, z:151.750000 
HR: x:286.000000, y:77.750000, z:127.437500 
KR: x:180.750000, y:76.437500, z:124.000000 
AR: x:296.312500, y:61.875000, z:-142.375000 
HR: x:277.562500, y:84.937500, z:176.750000 
KR: x:191.500000, y:78.000000, z:95.187500 
AR: x:343.750000, y:31.562500, z:-108.812500 
HR: x:274.562500, y:72.062500, z:95.437500 
KR: x:180.062500, y:77.312500, z:50.312500 
AR: x:276.125000, y:71.062500, z:172.625000 
HR: x:287.562500, y:79.250000, z:134.875000 
KR: x:180.250000, y:74.500000, z:134.500000 
AR: x:299.500000, y:59.875000, z:-138.125000 
HR: x:272.437500, y:79.750000, z:107.000000 
KR: x:184.437500, y:74.687500, z:54.000000 
AR: x:325.625000, y:47.125000, z:-112.875000 
HR: x:272.187500, y:71.062500, z:99.625000 
KR: x:181.125000, y:78.312500, z:50.750000 
AR: x:275.187500, y:70.250000, z:-168.625000 
HR: x:288.625000, y:81.187500, z:152.562500 
KR: x:179.375000, y:71.375000, z:138.875000 
AR: x:306.750000, y:54.500000, z:-128.875000 
HR: x:268.812500, y:75.375000, z:95.000000 
KR: x:179.125000, y:74.750000, z:41.062500 
AR: x:298.375000, y:64.250000, z:-132.750000 
HR: x:278.562500, y:73.000000, z:116.250000 
KR: x:178.750000, y:78.062500, z:78.562500 
AR: x:285.062500, y:66.562500, z:-154.312500 
HR: x:291.937500, y:83.125000, z:156.812500 
KR: x:189.125000, y:72.250000, z:142.937500 
AR: x:317.437500, y:49.937500, z:-123.312500 
HR: x:269.500000, y:73.250000, z:93.000000 
KR: x:179.062500, y:71.187500, z:44.437500 
AR: x:283.000000, y:69.750000, z:-155.812500 
HR: x:276.687500, y:70.312500, z:120.625000 
KR: x:179.312500, y:75.625000, z:84.437500 
AR: x:287.312500, y:63.375000, z:-149.062500 
HR: x:290.500000, y:81.437500, z:167.687500 
KR: x:187.875000, y:71.937500, z:138.625000 
AR: x:327.125000, y:42.125000, z:-118.187500 
HR: x:267.187500, y:71.687500, z:92.312500 
KR: x:181.687500, y:72.562500, z:40.000000 
AR: x:269.750000, y:72.687500, z:173.312500 
HR: x:283.000000, y:75.687500, z:124.687500 
KR: x:180.687500, y:76.000000, z:121.062500 
AR: x:294.625000, y:62.000000, z:-142.875000 
HR: x:287.375000, y:85.250000, z:177.687500 
KR: x:190.625000, y:78.062500, z:118.937500 
AR: x:339.437500, y:33.875000, z:-110.500000 
HR: x:269.625000, y:69.437500, z:95.500000 
KR: x:171.812500, y:72.125000, z:36.000000 
AR: x:258.125000, y:67.812500, z:150.500000 
HR: x:283.750000, y:75.812500, z:126.187500 
KR: x:176.375000, y:75.062500, z:120.437500 
AR: x:291.187500, y:61.500000, z:-147.187500 
HR: x:286.375000, y:84.687500, z:178.812500 
KR: x:201.062500, y:76.375000, z:123.812500 
AR: x:343.062500, y:32.125000, z:-111.000000 
HR: x:272.687500, y:70.187500, z:94.437500 
KR: x:174.062500, y:73.187500, z:40.875000 
AR: x:260.062500, y:68.500000, z:154.187500 
HR: x:284.875000, y:77.625000, z:131.250000 
KR: x:181.312500, y:73.375000, z:134.500000 
AR: x:301.687500, y:59.750000, z:-138.562500 
HR: x:274.250000, y:84.687500, z:175.687500 
KR: x:187.937500, y:77.500000, z:83.500000 
AR: x:340.375000, y:37.125000, z:-107.875000 
HR: x:270.625000, y:71.437500, z:96.812500 
KR: x:176.250000, y:77.500000, z:86.812500 
AR: x:270.000000, y:69.312500, z:178.687500 
HR: x:289.375000, y:80.000000, z:150.062500 
KR: x:174.312500, y:68.937500, z:141.125000 
AR: x:299.750000, y:58.187500, z:-139.125000 
HR: x:269.500000, y:78.312500, z:103.000000 
KR: x:184.750000, y:73.937500, z:57.687500 
AR: x:336.750000, y:43.687500, z:-108.250000 
HR: x:274.062500, y:68.625000, z:111.000000 
KR: x:185.125000, y:78.625000, z:64.750000 
AR: x:280.437500, y:71.312500, z:-169.687500 
HR: x:291.062500, y:80.375000, z:147.750000 
KR: x:176.125000, y:69.125000, z:140.937500 
AR: x:305.562500, y:56.312500, z:-133.000000 
HR: x:269.562500, y:78.812500, z:107.562500 
KR: x:182.437500, y:74.687500, z:59.375000 
AR: x:327.437500, y:47.000000, z:-113.375000 
HR: x:275.250000, y:72.375000, z:114.687500 
KR: x:186.250000, y:76.687500, z:103.625000 
AR: x:282.000000, y:67.687500, z:-161.312500 
HR: x:288.562500, y:82.250000, z:166.562500 
KR: x:183.000000, y:68.437500, z:145.812500 
AR: x:315.312500, y:52.000000, z:-125.812500 
HR: x:267.687500, y:74.250000, z:96.312500 
KR: x:178.062500, y:73.500000, z:52.687500 
AR: x:307.437500, y:60.500000, z:-123.875000 
HR: x:276.437500, y:69.687500, z:122.625000 
KR: x:176.625000, y:76.187500, z:80.375000 
AR: x:286.562500, y:67.312500, z:-158.000000 
HR: x:291.125000, y:82.000000, z:159.125000 
KR: x:180.437500, y:66.750000, z:145.500000 
AR: x:317.937500, y:50.125000, z:-123.187500 
HR: x:265.125000, y:70.312500, z:93.375000 
KR: x:180.312500, y:72.562500, z:47.250000 
AR: x:285.187500, y:72.000000, z:-166.625000 
HR: x:278.250000, y:70.437500, z:119.375000 
KR: x:187.937500, y:75.750000, z:110.625000 
AR: x:296.375000, y:64.437500, z:-146.375000 
HR: x:287.375000, y:82.375000, z:156.375000 
KR: x:195.312500, y:70.312500, z:145.312500 
AR: x:335.125000, y:40.812500, z:-114.312500 
HR: x:261.375000, y:68.500000, z:88.625000 
KR: x:179.750000, y:71.125000, z:41.750000 
AR: x:276.062500, y:73.375000, z:-175.937500 
HR: x:282.312500, y:72.250000, z:124.000000 
KR: x:182.125000, y:74.437500, z:108.937500 
AR: x:296.250000, y:62.875000, z:-140.625000 
HR: x:281.937500, y:81.437500, z:128.625000 
KR: x:187.312500, y:74.125000, z:122.812500 
AR: x:337.812500, y:36.312500, z:-110.500000 
HR: x:269.312500, y:68.125000, z:92.750000 
KR: x:180.937500, y:72.000000, z:44.937500 
AR: x:265.937500, y:71.687500, z:155.562500 
HR: x:280.500000, y:73.062500, z:122.187500 
KR: x:180.125000, y:74.625000, z:121.000000 
AR: x:294.125000, y:62.375000, z:-142.500000 
HR: x:288.437500, y:83.062500, z:160.625000 
KR: x:195.687500, y:72.750000, z:137.625000 
AR: x:343.562500, y:32.687500, z:-112.812500 
HR: x:274.000000, y:69.062500, z:97.187500 
KR: x:175.750000, y:74.500000, z:48.750000 
AR: x:266.375000, y:70.687500, z:155.437500 
HR: x:284.812500, y:76.312500, z:128.875000 
KR: x:188.125000, y:73.750000, z:137.187500 
AR: x:303.875000, y:61.437500, z:-140.437500 
HR: x:288.562500, y:84.625000, z:175.875000 
KR: x:196.375000, y:76.812500, z:113.812500 
AR: x:344.687500, y:30.500000, z:-112.000000 
HR: x:265.562500, y:68.750000, z:92.000000 
KR: x:173.250000, y:75.375000, z:59.812500 
AR: x:266.687500, y:71.687500, z:170.125000 
HR: x:282.750000, y:76.312500, z:128.687500 
KR: x:177.750000, y:70.937500, z:135.437500 
AR: x:299.437500, y:58.875000, z:-135.937500 
HR: x:273.750000, y:82.750000, z:124.125000 
KR: x:187.125000, y:77.125000, z:99.875000 
AR: x:342.750000, y:35.625000, z:-104.375000 
HR: x:274.312500, y:69.875000, z:96.875000 
KR: x:179.937500, y:75.875000, z:77.875000 
AR: x:270.000000, y:71.250000, z:170.812500 
HR: x:283.812500, y:77.875000, z:139.625000 
AR: x:302.062500, y:56.875000, z:-134.000000 
KR: x:174.312500, y:68.437500, z:136.625000 
HR: x:273.312500, y:79.375000, z:103.375000 
KR: x:192.500000, y:76.625000, z:69.437500 
AR: x:339.000000, y:44.187500, z:-108.625000 
HR: x:278.000000, y:71.250000, z:101.312500 
KR: x:177.937500, y:75.625000, z:91.187500 
AR: x:274.937500, y:70.437500, z:175.125000 
HR: x:284.562500, y:78.937500, z:135.562500 
KR: x:176.875000, y:69.000000, z:140.375000 
AR: x:305.875000, y:57.312500, z:-132.875000 
HR: x:271.187500, y:77.562500, z:103.312500 
KR: x:183.937500, y:76.250000, z:61.125000 
AR: x:324.000000, y:52.437500, z:-115.250000 
HR: x:275.312500, y:69.125000, z:104.312500 
KR: x:190.625000, y:75.812500, z:74.437500 
AR: x:287.000000, y:68.937500, z:-159.062500 
HR: x:284.000000, y:79.062500, z:147.187500 
KR: x:177.312500, y:67.000000, z:143.937500 
AR: x:311.250000, y:53.625000, z:-125.312500 
HR: x:269.375000, y:71.187500, z:94.937500 
KR: x:185.562500, y:74.750000, z:46.937500 
AR: x:296.750000, y:70.875000, z:-147.937500 
HR: x:282.875000, y:70.125000, z:112.312500 
KR: x:183.625000, y:77.562500, z:111.812500 
AR: x:287.062500, y:67.500000, z:-150.187500 
HR: x:287.750000, y:82.687500, z:158.250000 
KR: x:182.125000, y:66.875000, z:147.687500 
AR: x:323.687500, y:47.187500, z:-118.750000 
HR: x:263.875000, y:67.562500, z:92.500000 
KR: x:178.000000, y:72.250000, z:49.500000 
AR: x:272.562500, y:72.125000, z:173.687500 
HR: x:279.187500, y:72.250000, z:121.187500 
KR: x:177.812500, y:73.125000, z:126.250000 
AR: x:289.312500, y:64.187500, z:-150.437500 
HR: x:288.062500, y:81.375000, z:171.437500 
KR: x:189.250000, y:71.562500, z:138.062500 
AR: x:334.312500, y:38.375000, z:-114.625000 
HR: x:271.375000, y:70.375000, z:99.625000 
KR: x:173.375000, y:74.187500, z:53.125000 
AR: x:262.875000, y:68.812500, z:153.375000 
HR: x:286.062500, y:75.250000, z:128.125000 
KR: x:177.687500, y:71.062500, z:137.937500 
AR: x:297.375000, y:61.250000, z:-142.500000 
HR: x:280.437500, y:81.687500, z:155.937500 
KR: x:183.125000, y:73.812500, z:125.625000 
AR: x:343.500000, y:33.062500, z:-106.687500 
HR: x:274.187500, y:70.062500, z:98.437500 
KR: x:172.562500, y:76.062500, z:65.000000 
AR: x:277.062500, y:70.937500, z:176.000000 
HR: x:285.250000, y:77.375000, z:134.250000 
KR: x:173.437500, y:68.062500, z:142.687500 
AR: x:304.437500, y:58.312500, z:-134.250000 
HR: x:269.000000, y:80.937500, z:118.312500 
KR: x:182.500000, y:76.750000, z:90.562500 
AR: x:335.875000, y:40.500000, z:-107.562500 
HR: x:274.875000, y:70.312500, z:103.125000 
KR: x:173.937500, y:79.125000, z:84.062500 
AR: x:269.500000, y:70.875000, z:173.687500 
HR: x:287.625000, y:78.187500, z:134.062500 
KR: x:176.750000, y:69.937500, z:140.625000 
AR: x:300.687500, y:58.000000, z:-138.125000 
HR: x:275.750000, y:83.125000, z:138.187500 
KR: x:189.750000, y:76.937500, z:108.125000 
AR: x:345.937500, y:33.250000, z:-105.562500 
HR: x:270.187500, y:68.250000, z:100.375000 
